"TimeCreated","Id","LevelDisplayName","ProviderName","MachineName","Message"
"7/25/2026 8:46:18 PM","7031","Error","Service Control Manager","SRV01.homelab.local","The Windows Search service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 30000 milliseconds: Restart the service."
"7/25/2026 8:46:18 PM","7023","Error","Service Control Manager","SRV01.homelab.local","The Windows Search service terminated with the following error:   The system cannot find the drive specified."
"7/25/2026 8:45:30 PM","1059","Error","Microsoft-Windows-DHCP-Server","SRV01.homelab.local","The DHCP service failed to see a directory server for authorization."
"7/25/2026 8:44:46 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/25/2026 8:44:52 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 5:03:36 PM on ?7/?25/?2026 was unexpected."
"7/25/2026 4:14:32 PM","7","Error","Microsoft-Windows-Kerberos-Key-Distribution-Center","SRV01.homelab.local","The Security Account Manager failed a KDC request in an unexpected way. The error is in the data field. The account name was  and lookup type 0x108."
"7/24/2026 10:54:08 PM","1059","Error","Microsoft-Windows-DHCP-Server","SRV01.homelab.local","The DHCP service failed to see a directory server for authorization."
"7/24/2026 10:53:22 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/24/2026 10:53:29 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 4:56:48 PM on ?7/?23/?2026 was unexpected."
"7/23/2026 3:35:35 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/23/2026 3:35:43 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 11:44:44 PM on ?7/?22/?2026 was unexpected."
"7/22/2026 10:59:22 PM","1059","Error","Microsoft-Windows-DHCP-Server","SRV01.homelab.local","The DHCP service failed to see a directory server for authorization."
"7/22/2026 10:58:38 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/22/2026 10:58:44 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 10:07:15 PM on ?7/?22/?2026 was unexpected."
"7/22/2026 9:21:07 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/22/2026 9:21:15 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 5:58:28 PM on ?7/?22/?2026 was unexpected."
"7/22/2026 1:15:59 PM","1046","Error","Microsoft-Windows-DHCP-Server","SRV01.homelab.local","The DHCP/BINL service on the local machine, belonging to the Windows Administrative domain homelab.local, has determined that it is not authorized to start.  It has stopped servicing clients.  The following are some possible reasons for this:   	This machine is part of a directory service enterprise and is not authorized in the same domain.  (See help on the DHCP Service Management Tool for additional information).     	This machine cannot reach its directory service enterprise and it has encountered another DHCP service on the network belonging to a directory service enterprise on which the local machine is not authorized.     	Some unexpected network error occurred."
"7/22/2026 1:15:59 PM","1059","Error","Microsoft-Windows-DHCP-Server","SRV01.homelab.local","The DHCP service failed to see a directory server for authorization."
"7/22/2026 1:15:13 PM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/22/2026 1:15:21 PM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 10:21:50 PM on ?7/?19/?2026 was unexpected."
"7/19/2026 11:13:31 AM","41","Critical","Microsoft-Windows-Kernel-Power","SRV01.homelab.local","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"7/19/2026 11:13:45 AM","6008","Error","EventLog","SRV01.homelab.local","The previous system shutdown at 7:28:26 PM on ?7/?18/?2026 was unexpected."
